序号,类别,子类,标准编号,文件名称,发布部门,状态,优先级,官方来源
59,国家标准GB,检测与试验-地基检测,GB 50021-2001(2009修订),岩土工程勘察规范,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
60,国家标准GB,检测与试验-结构检测,GB/T 50344-2019,建筑结构检测技术标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
61,国家标准GB,检测与试验-地基检测,GB/T 50123-2019,土工试验方法标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
62,国家标准GB,检测与试验-地基检测,GB 50086-2015,岩土锚杆与喷射混凝土支护工程技术规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
63,国家标准GB,检测与试验-材料检测,GB/T 50080-2016,普通混凝土拌合物性能试验方法标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
64,国家标准GB,结构设计-地基与基础,GB 50135-2019,高耸结构设计标准,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
65,国家标准GB,结构设计-抗震设计,GB/T 51408-2021,建筑隔震设计标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
66,国家标准GB,结构设计-抗震设计,GB 50021-2020,建筑工程抗震加固技术规程(征求意见稿),住建部,编制中,B,https://openstd.samr.gov.cn/
67,国家标准GB,结构设计-地基与基础,GB 50025-2018,湿陷性黄土地区建筑标准,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
68,国家标准GB,结构设计-地基与基础,JGJ 79-2012,建筑地基处理技术规范,住建部,现行,S,https://openstd.samr.gov.cn/
69,国家标准GB,结构设计-地基与基础,JGJ 120-2012,建筑基坑支护技术规程,住建部,现行,S,https://openstd.samr.gov.cn/
70,国家标准GB,结构设计-地基与基础,JGJ 94-2008,建筑桩基技术规范,住建部,现行,S,https://openstd.samr.gov.cn/
71,行业标准,JGJ施工技术,JGJ 130-2011,建筑施工扣件式钢管脚手架安全技术规范,住建部,现行,S,https://www.mohurd.gov.cn/
72,行业标准,JGJ施工技术,JGJ 128-2010,建筑施工门式钢管脚手架安全技术标准,住建部,现行,B,https://www.mohurd.gov.cn/
73,行业标准,JGJ施工技术,JGJ 166-2016,建筑施工碗扣式钢管脚手架安全技术规范,住建部,现行,A,https://www.mohurd.gov.cn/
74,行业标准,JGJ施工技术,JGJ 231-2010,建筑施工承插型盘扣式钢管支架安全技术规程,住建部,现行,A,https://www.mohurd.gov.cn/
75,行业标准,JGJ施工技术,JGJ 18-2012,钢筋焊接及验收规程,住建部,现行,A,https://www.mohurd.gov.cn/
76,行业标准,JGJ施工技术,JGJ 107-2016,钢筋机械连接技术规程,住建部,现行,A,https://www.mohurd.gov.cn/
77,行业标准,JGJ施工技术,JGJ 55-2011,普通混凝土配合比设计规程,住建部,现行,A,https://www.mohurd.gov.cn/
78,行业标准,JGJ施工技术,JGJ/T 10-2011,混凝土泵送施工技术规程,住建部,现行,B,https://www.mohurd.gov.cn/
79,行业标准,JGJ施工技术,JGJ 104-2011,建筑工程冬期施工规程,住建部,现行,A,https://www.mohurd.gov.cn/
80,行业标准,JGJ施工技术,JGJ/T 104-2011,建筑工程冬期施工规程,住建部,现行,A,https://www.mohurd.gov.cn/
81,行业标准,JGJ施工技术,JGJ/T 27-2014,钢筋焊接接头试验方法标准,住建部,现行,B,https://www.mohurd.gov.cn/
82,行业标准,JGJ施工技术,JGJ 33-2012,建筑机械使用安全技术规程,住建部,现行,A,https://www.mohurd.gov.cn/
83,行业标准,JGJ施工技术,JGJ 146-2013,建设工程施工现场环境与卫生标准,住建部,现行,B,https://www.mohurd.gov.cn/
84,行业标准,JGJ施工技术,JGJ/T 188-2009,施工现场临时建筑物技术规范,住建部,现行,B,https://www.mohurd.gov.cn/
85,行业标准,JGJ施工技术,JGJ 196-2010,建筑施工塔式起重机安装、使用、拆卸安全技术规程,住建部,现行,A,https://www.mohurd.gov.cn/
86,行业标准,JGJ施工技术,JGJ 215-2010,建筑施工升降机安装、使用、拆卸安全技术规程,住建部,现行,A,https://www.mohurd.gov.cn/
87,行业标准,JGJ施工技术,JGJ 160-2016,混凝土用机械锚栓,住建部,现行,B,https://www.mohurd.gov.cn/
88,行业标准,JGJ施工技术,JGJ 116-2009,建筑抗震加固技术规程,住建部,现行,B,https://www.mohurd.gov.cn/
89,行业标准,JGJ结构设计,JGJ 138-2016,组合结构设计规范,住建部,现行,A,https://www.mohurd.gov.cn/
90,行业标准,JGJ结构设计,JGJ 149-2017,混凝土异形柱结构技术规程,住建部,现行,A,https://www.mohurd.gov.cn/
91,行业标准,JGJ结构设计,JGJ 99-2015,高层民用建筑钢结构技术规程,住建部,现行,A,https://www.mohurd.gov.cn/
92,行业标准,JGJ结构设计,JGJ 339-2015,非结构构件抗震设计规范,住建部,现行,B,https://www.mohurd.gov.cn/
93,行业标准,JGJ结构设计,JGJ/T 249-2011,拱形钢结构技术规程,住建部,现行,B,https://www.mohurd.gov.cn/
94,行业标准,JGJ结构设计,JGJ 92-2016,无粘结预应力混凝土结构技术规程,住建部,现行,B,https://www.mohurd.gov.cn/
95,行业标准,JGJ结构设计,JGJ 217-2010,纤维石膏空心大板复合墙体结构技术规程,住建部,现行,B,https://www.mohurd.gov.cn/
96,行业标准,JGJ结构设计,JGJ 227-2011,低层冷弯薄壁型钢房屋建筑技术规程,住建部,现行,B,https://www.mohurd.gov.cn/
97,行业标准,JGJ检测鉴定,JGJ/T 23-2011,回弹法检测混凝土抗压强度技术规程,住建部,现行,A,https://www.mohurd.gov.cn/
98,行业标准,JGJ检测鉴定,JGJ 106-2014,建筑基桩检测技术规范,住建部,现行,A,https://www.mohurd.gov.cn/
99,行业标准,JGJ检测鉴定,JGJ 340-2015,建筑地基检测技术标准,住建部,现行,B,https://www.mohurd.gov.cn/
100,行业标准,JGJ检测鉴定,JGJ 125-2016,危险房屋鉴定标准,住建部,现行,A,https://www.mohurd.gov.cn/
101,行业标准,JGJ检测鉴定,JGJ 8-2016,建筑变形测量规范,住建部,现行,B,https://www.mohurd.gov.cn/
102,行业标准,JGJ节能环保,JGJ 176-2009,公共建筑节能改造技术规范,住建部,现行,B,https://www.mohurd.gov.cn/
103,行业标准,JGJ节能环保,JGJ 134-2010,夏热冬冷地区居住建筑节能设计标准,住建部,现行,B,https://www.mohurd.gov.cn/
104,行业标准,JGJ节能环保,JGJ 26-2018,严寒和寒冷地区居住建筑节能设计标准,住建部,现行,B,https://www.mohurd.gov.cn/
105,行业标准,JGJ市政工程,JGJ 139-2001,玻璃幕墙工程质量检验标准,住建部,现行,B,https://www.mohurd.gov.cn/
106,行业标准,JGJ市政工程,JGJ 155-2013,种植屋面工程技术规程,住建部,现行,B,https://www.mohurd.gov.cn/
107,行业标准,JGJ市政工程,JGJ 144-2019,外墙外保温工程技术标准,住建部,现行,A,https://www.mohurd.gov.cn/
108,行业标准,JTG公路工程,JTG B01-2014,公路工程技术标准,交通运输部,现行,S,https://www.mot.gov.cn/
109,行业标准,JTG公路工程,JTG F80/1-2017,公路工程质量检验评定标准 第一册 土建工程,交通运输部,现行,S,https://www.mot.gov.cn/
110,行业标准,JTG公路工程,JTG 3420-2020,公路工程水泥及水泥混凝土试验规程,交通运输部,现行,A,https://www.mot.gov.cn/
111,行业标准,JTG公路工程,JTG 3430-2020,公路土工试验规程,交通运输部,现行,A,https://www.mot.gov.cn/
112,行业标准,JTG公路工程,JTG 3362-2018,公路钢筋混凝土及预应力混凝土桥涵设计规范,交通运输部,现行,S,https://www.mot.gov.cn/
113,行业标准,JTG公路工程,JTG 3363-2019,公路桥涵地基与基础设计规范,交通运输部,现行,S,https://www.mot.gov.cn/
114,行业标准,JTG公路工程,JTG D70-2004,公路隧道设计规范,交通运输部,现行,S,https://www.mot.gov.cn/
115,行业标准,JTG公路工程,JTG E42-2005,公路工程集料试验规程,交通运输部,现行,B,https://www.mot.gov.cn/
116,行业标准,JTG公路工程,JTG E51-2009,公路工程无机结合料稳定材料试验规程,交通运输部,现行,B,https://www.mot.gov.cn/
117,行业标准,JTG桥梁工程,JTG 5120-2021,公路桥涵养护规范,交通运输部,现行,A,https://www.mot.gov.cn/
118,行业标准,JTG桥梁工程,JTG/T 3650-2020,公路桥涵施工技术规范,交通运输部,现行,S,https://www.mot.gov.cn/
119,行业标准,JTG桥梁工程,JTG D60-2015,公路桥涵设计通用规范,交通运输部,现行,S,https://www.mot.gov.cn/
120,行业标准,JTG隧道工程,JTG F60-2009,公路隧道施工技术规范,交通运输部,现行,A,https://www.mot.gov.cn/
121,行业标准,JTG隧道工程,JTG 3370.1-2018,公路隧道设计规范 第一册 土建工程,交通运输部,现行,S,https://www.mot.gov.cn/
122,行业标准,JTG公路工程,JTG D50-2017,公路沥青路面设计规范,交通运输部,现行,A,https://www.mot.gov.cn/
123,行业标准,JTG公路工程,JTG/T F20-2015,公路路面基层施工技术细则,交通运输部,现行,B,https://www.mot.gov.cn/
124,行业标准,SL水利工程,SL 303-2017,水利水电工程施工组织设计规范,水利部,现行,A,https://www.mwr.gov.cn/
125,行业标准,SL水利工程,SL 176-2007,水利水电工程施工质量检验与评定规程,水利部,现行,S,https://www.mwr.gov.cn/
126,行业标准,SL水利工程,SL 288-2014,水利工程施工监理规范,水利部,现行,A,https://www.mwr.gov.cn/
127,行业标准,SL水利工程,SL 274-2020,碾压式土石坝设计规范,水利部,现行,A,https://www.mwr.gov.cn/
128,行业标准,SL水利工程,SL 191-2008,水工混凝土结构设计规范,水利部,现行,S,https://www.mwr.gov.cn/
129,行业标准,SL水利工程,SL 252-2017,水利水电工程等级划分及洪水标准,水利部,现行,A,https://www.mwr.gov.cn/
130,行业标准,SL水利工程,SL 398-2007,水利水电工程施工通用安全技术规程,水利部,现行,A,https://www.mwr.gov.cn/
131,行业标准,SL水利工程,SL 399-2007,水利水电工程土建施工安全技术规程,水利部,现行,B,https://www.mwr.gov.cn/
132,行业标准,TB铁路工程,TB 10002-2017,铁路桥涵设计规范,国家铁路局,现行,A,https://www.nra.gov.cn/
133,行业标准,TB铁路工程,TB 10003-2016,铁路隧道设计规范,国家铁路局,现行,A,https://www.nra.gov.cn/
134,行业标准,TB铁路工程,TB 10120-2019,铁路瓦斯隧道技术规范,国家铁路局,现行,B,https://www.nra.gov.cn/
135,行业标准,TB铁路工程,TB 10424-2018,铁路混凝土工程施工质量验收标准,国家铁路局,现行,A,https://www.nra.gov.cn/
136,行业标准,TB铁路工程,TB 10425-2019,铁路混凝土强度检验评定标准,国家铁路局,现行,B,https://www.nra.gov.cn/
137,行业标准,DL电力工程,DL/T 5218-2012,220kV~750kV变电站设计技术规程,国家能源局,现行,B,https://www.nea.gov.cn/
138,行业标准,DL电力工程,DL/T 5150-2017,水工混凝土试验规程,国家能源局,现行,B,https://www.nea.gov.cn/
139,法律法规,建筑法与规划法,中华人民共和国主席令第29号,中华人民共和国建筑法(2019修正),全国人大常委会,现行,S,https://flk.npc.gov.cn/
140,法律法规,建筑法与规划法,中华人民共和国主席令第74号,中华人民共和国城乡规划法(2019修正),全国人大常委会,现行,S,https://flk.npc.gov.cn/
141,法律法规,安全生产法规,中华人民共和国主席令第88号,中华人民共和国安全生产法(2021修正),全国人大常委会,现行,S,https://flk.npc.gov.cn/
142,法律法规,质量管理条例,国务院令第279号,建设工程质量管理条例(2019修订),国务院,现行,S,https://flk.npc.gov.cn/
143,法律法规,安全生产法规,国务院令第393号,建设工程安全生产管理条例,国务院,现行,S,https://flk.npc.gov.cn/
144,法律法规,招标投标与合同,中华人民共和国主席令第21号,中华人民共和国招标投标法,全国人大常委会,现行,S,https://flk.npc.gov.cn/
145,法律法规,招标投标与合同,国务院令第613号,中华人民共和国招标投标法实施条例(2019修订),国务院,现行,A,https://flk.npc.gov.cn/
146,法律法规,招标投标与合同,中华人民共和国主席令第22号,中华人民共和国民法典（合同编·建设工程合同）,全国人大常委会,现行,S,https://flk.npc.gov.cn/
147,法律法规,建筑法与规划法,国务院令第305号,城市房屋拆迁管理条例,国务院,现行,B,https://flk.npc.gov.cn/
148,法律法规,安全生产法规,住建部令第37号,危险性较大的分部分项工程安全管理规定,住建部,现行,S,https://www.mohurd.gov.cn/
149,法律法规,安全生产法规,国务院令第708号,生产安全事故应急条例,国务院,现行,A,https://flk.npc.gov.cn/
150,法律法规,安全生产法规,国家安监总局令第38号,特种作业人员安全技术培训考核管理规定,国家安监总局,现行,B,https://www.mem.gov.cn/
151,法律法规,消防与应急法规,中华人民共和国主席令第6号,中华人民共和国消防法(2021修正),全国人大常委会,现行,S,https://flk.npc.gov.cn/
152,法律法规,环境保护法规,中华人民共和国主席令第31号,中华人民共和国环境保护法,全国人大常委会,现行,A,https://flk.npc.gov.cn/
153,法律法规,环境保护法规,国务院令第682号,建设项目环境保护管理条例,国务院,现行,A,https://flk.npc.gov.cn/
154,法律法规,劳动保障法规,国务院令第724号,保障农民工工资支付条例,国务院,现行,A,https://flk.npc.gov.cn/
155,法律法规,建筑法与规划法,住建部令第16号,建筑工程施工许可管理办法,住建部,现行,B,https://www.mohurd.gov.cn/
156,法律法规,建筑法与规划法,住建部令第22号,建筑业企业资质管理规定,住建部,现行,B,https://www.mohurd.gov.cn/
157,技术规程,BIM技术标准,GB/T 51212-2016,建筑信息模型应用统一标准,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
158,技术规程,BIM技术标准,GB/T 51235-2017,建筑信息模型施工应用标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
159,技术规程,BIM技术标准,GB/T 51269-2017,建筑信息模型分类和编码标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
160,技术规程,绿色建筑标准,GB/T 50378-2019,绿色建筑评价标准,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
161,技术规程,装配式建筑标准,GB/T 51231-2016,装配式混凝土建筑技术标准,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
162,技术规程,装配式建筑标准,GB/T 51232-2016,装配式钢结构建筑技术标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
163,技术规程,装配式建筑标准,GB/T 51233-2016,装配式木结构建筑技术标准,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
164,技术规程,装配式建筑标准,JGJ 1-2014,装配式混凝土结构技术规程,住建部,现行,S,https://openstd.samr.gov.cn/
165,技术规程,绿色建筑标准,GB 50189-2015,公共建筑节能设计标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
166,技术规程,施工工艺标准,GB/T 50733-2019,建筑施工安全技术标准,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
167,技术规程,绿色建筑标准,GB 50411-2019,建筑节能工程施工质量验收标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
168,技术规程,智慧工地标准,GB/T 51409-2021,智慧工地建设技术标准,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
169,地方标准,北京DB11,DB11/T 1074-2014,北京市建筑工程施工安全操作规程,北京市住建委,现行,A,https://zjw.beijing.gov.cn/
170,地方标准,上海DB31,DB31/T 932-2015,上海市建设工程安全生产标准化管理规范,上海市住建委,现行,A,https://zjw.sh.gov.cn/
171,地方标准,广东DB44,DB44/T 1297-2014,广东省建筑结构荷载规范,广东省住建厅,现行,B,https://zfcxjst.gd.gov.cn/
172,地方标准,浙江DB33,DB33/T 1186-2020,浙江省装配整体式混凝土结构住宅技术标准,浙江省住建厅,现行,B,https://jst.zj.gov.cn/
173,地方标准,江苏DB32,DB32/T 3434-2018,江苏省绿色建筑设计标准,江苏省住建厅,现行,A,https://jsszfhcxjst.jiangsu.gov.cn/
174,地方标准,广东DB44,DB44/T 2006-2017,广东省建筑施工安全检查标准实施细则,广东省住建厅,现行,B,https://zfcxjst.gd.gov.cn/
175,国家标准GB,结构设计-混凝土结构,GB/T 50448-2015,水泥基灌浆材料应用技术规范,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
176,国家标准GB,施工验收-混凝土工程,GB/T 50107-2010,混凝土强度检验评定标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
177,国家标准GB,检测与试验-地基检测,GB 50202-2018,建筑地基基础工程施工质量验收标准,住建部/国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
178,国家标准GB,结构设计-抗震设计,GB 18306-2015,中国地震动参数区划图,国家市场监管总局,现行,S,https://openstd.samr.gov.cn/
179,行业标准,JGJ施工技术,JGJ 82-2011,钢结构高强度螺栓连接技术规程,住建部,现行,A,https://www.mohurd.gov.cn/
180,行业标准,JGJ施工技术,JGJ 81-2002,建筑钢结构焊接技术规程,住建部,现行,A,https://www.mohurd.gov.cn/
181,行业标准,JGJ结构设计,JGJ 113-2015,建筑玻璃应用技术规程,住建部,现行,B,https://www.mohurd.gov.cn/
182,国家标准GB,结构设计-荷载与作用,GB 50038-2005,人民防空地下室设计规范,国家人防办,现行,A,https://openstd.samr.gov.cn/
183,国家标准GB,安全规范-基坑与地下工程,GB 50497-2019,建筑基坑工程监测技术标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
184,行业标准,JTJ交通行业,JTG E60-2008,公路路基路面现场测试规程,交通运输部,现行,B,https://www.mot.gov.cn/
185,行业标准,SL水利工程,SL 223-2008,水利水电建设工程验收规程,水利部,现行,S,https://www.mwr.gov.cn/
186,国家标准GB,结构设计-钢结构,GB 50429-2007,铝合金结构设计规范,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
187,国家标准GB,材料标准-水泥与混凝土,GB 50176-2016,民用建筑热工设计规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
188,行业标准,JGJ施工技术,JGJ/T 220-2010,抹灰砂浆技术规程,住建部,现行,B,https://www.mohurd.gov.cn/
189,国家标准GB,检测与试验-结构检测,GB 50292-2015,民用建筑可靠性鉴定标准,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
190,法律法规,建筑法与规划法,国务院令第687号,建设工程勘察设计管理条例(2017修订),国务院,现行,A,https://flk.npc.gov.cn/
191,法律法规,招标投标与合同,住建部令第37号,建筑工程设计招标投标管理办法,住建部,现行,B,https://www.mohurd.gov.cn/
192,法律法规,安全生产法规,国家安监总局令第74号,企业安全生产应急管理九条规定,国家安监总局,现行,B,https://www.mem.gov.cn/
193,国家标准GB,施工验收-模板与脚手架,GB/T 50319-2013,建设工程监理规范,住建部/国家市场监管总局,现行,A,https://openstd.samr.gov.cn/
194,行业标准,JGJ施工技术,JGJ 184-2009,建筑施工作业劳动防护用品配备及使用标准,住建部,现行,B,https://www.mohurd.gov.cn/
195,国家标准GB,结构设计-地基与基础,GB/T 50600-2010,渠道防渗工程技术规范,住建部/国家市场监管总局,现行,B,https://openstd.samr.gov.cn/
